====== Boron in Silicon implant                 =======
        SRIM-2008.04
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  B   Energy = 40  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+03 A   Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1552.00
 Ion Average Range =   145.0E+01 A   Straggling =   480.3E+00 A
 Ion Lateral Range =   440.7E+00 A   Straggling =   550.1E+00 A
 Ion Radial  Range =   684.2E+00 A   Straggling =   339.9E+00 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =9
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -000.3789  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 003.0041  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          B       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
350100.E-04  1.8409E+03  0.0000E+00
700100.E-04  1.8409E+03  0.0000E+00
105010.E-03  1.8409E+03  0.0000E+00
140010.E-03  7.3638E+03  0.0000E+00
175010.E-03  1.2887E+04  0.0000E+00
210010.E-03  1.2887E+04  0.0000E+00
245010.E-03  1.1046E+04  0.0000E+00
280010.E-03  5.5228E+03  0.0000E+00
315010.E-03  5.5228E+03  0.0000E+00
350010.E-03  7.3638E+03  0.0000E+00
385010.E-03  1.4728E+04  0.0000E+00
420010.E-03  7.3638E+03  0.0000E+00
455010.E-03  7.3638E+03  0.0000E+00
490010.E-03  1.2887E+04  0.0000E+00
525010.E-03  9.2047E+03  0.0000E+00
560010.E-03  9.2047E+03  0.0000E+00
595010.E-03  2.0250E+04  0.0000E+00
630010.E-03  7.3638E+03  0.0000E+00
665010.E-03  2.2091E+04  0.0000E+00
700010.E-03  1.6568E+04  0.0000E+00
735010.E-03  2.9455E+04  0.0000E+00
770010.E-03  1.2887E+04  0.0000E+00
805010.E-03  3.1296E+04  0.0000E+00
840010.E-03  4.0501E+04  0.0000E+00
875010.E-03  2.3932E+04  0.0000E+00
910010.E-03  5.7069E+04  0.0000E+00
945010.E-03  3.6819E+04  0.0000E+00
980010.E-03  4.2342E+04  0.0000E+00
101501.E-02  4.7865E+04  0.0000E+00
